Sl,Station_Names,Year,Month,Max_Temp,Temperature,Min_Temp,Rainfall,Flood Occurrence
195,Barisal,1965,4,34,27.1,23.9,53,
196,Barisal,1965,5,33.6,28.75,25,127,
197,Barisal,1965,6,32.9,28.95,25.7,407,1
198,Barisal,1965,7,31.2,28.45,25.6,185,
199,Barisal,1965,8,31.4,28.5,25.7,346,
200,Barisal,1965,9,32.5,29.1,25.5,179,
201,Barisal,1965,10,32,28.75,23.8,171,
202,Barisal,1965,11,30.7,27.25,18.8,1,
203,Barisal,1965,12,27.8,23.3,13.7,16,
204,Barisal,1966,1,26.6,20.15,12.3,19,
205,Barisal,1966,2,30.5,21.4,15.2,0,
206,Barisal,1966,3,33.3,24.25,20.2,0,
207,Barisal,1966,4,34,27.1,23.9,1,
208,Barisal,1966,5,33.6,28.75,25,175,
209,Barisal,1966,6,32.9,28.95,25.7,416,1
210,Barisal,1966,7,31.2,28.45,25.6,328,
211,Barisal,1966,8,31.4,28.5,25.7,434,1
212,Barisal,1966,9,32.7,29.2,25.7,311,
213,Barisal,1966,10,32,28.85,23.8,317,
214,Barisal,1966,11,30.7,27.25,18.8,26,
215,Barisal,1966,12,27.8,23.3,13.7,53,
216,Barisal,1967,1,26.6,20.15,12.3,42,
217,Barisal,1967,2,33.8,23.05,15.6,0,
218,Barisal,1967,3,33.4,24.5,19,92,
219,Barisal,1967,4,36.9,27.95,23,105,
220,Barisal,1967,5,35.8,29.4,25.3,71,
221,Barisal,1967,6,34.7,30,25.5,159,
222,Barisal,1967,7,32.9,29.2,24.3,292,
223,Barisal,1967,8,32.8,28.55,25.6,228,
224,Barisal,1967,9,33.5,29.55,25.2,547,1
225,Barisal,1967,10,32.8,29,22.7,342,
226,Barisal,1967,11,29.4,26.05,15.3,0,
227,Barisal,1967,12,28.1,21.7,13.1,0,
228,Barisal,1968,1,28.9,21,12.2,0,
229,Barisal,1968,2,31.1,21.65,15,14,
230,Barisal,1968,3,36.7,25.85,19.3,86,
231,Barisal,1968,4,35.9,27.6,23.4,64,
232,Barisal,1968,5,37.6,30.5,24.9,246,
233,Barisal,1968,6,32.5,28.7,24.7,847,1
234,Barisal,1968,7,35.2,29.95,25.5,422,1
235,Barisal,1968,8,36.1,30.8,25.5,331,1
236,Barisal,1968,9,37.7,31.6,25.8,159,
237,Barisal,1968,10,35,30.4,23.1,231,
238,Barisal,1968,11,30.8,26.95,18.1,12,
239,Barisal,1968,12,29.7,23.9,12.2,0,
240,Barisal,1969,1,27.9,20.05,10.6,0,
241,Barisal,1969,2,34.2,22.4,14.9,0,
242,Barisal,1969,3,35,24.95,20.9,107,
243,Barisal,1969,4,36.4,28.65,23.5,82,
244,Barisal,1969,5,35.8,29.65,25.1,55,
245,Barisal,1969,6,33.1,29.1,26.3,347,
246,Barisal,1969,7,31.9,29.1,25.5,487,1
247,Barisal,1969,8,33.2,29.35,25.4,546,1
248,Barisal,1969,9,34.3,29.85,26,366,1
249,Barisal,1969,10,33.8,29.9,23.7,45,
250,Barisal,1969,11,32.8,28.25,18.2,22,
251,Barisal,1969,12,28.1,23.15,12.9,0,
252,Barisal,1970,1,26.7,19.8,11.6,0,
253,Barisal,1970,2,31.6,21.6,15.3,24,
254,Barisal,1970,3,35.4,25.35,21.1,5,
255,Barisal,1970,4,35,28.05,24.3,91,
256,Barisal,1970,5,35.6,29.95,26.2,124,
257,Barisal,1970,6,33.7,29.95,25.6,408,1
258,Barisal,1970,7,34.4,30,25.7,530,1
259,Barisal,1970,8,33.3,29.5,25.9,317,
260,Barisal,1970,9,32.8,29.35,25.7,571,1
261,Barisal,1970,10,33.1,29.4,24,253,
262,Barisal,1970,11,31.2,27.6,18.5,90,
263,Barisal,1970,12,27.2,22.85,12.2,0,
264,Barisal,1971,1,27.9,20.05,13.2,7,
265,Barisal,1971,2,31.4,22.3,14.7,1,
266,Barisal,1971,3,34.7,24.7,18.7,6,
267,Barisal,1971,4,34.1,26.4,23.6,138,
268,Barisal,1971,5,35.2,29.4,24,286,
269,Barisal,1971,6,32.8,28.4,25.4,503,1
270,Barisal,1971,7,32.8,29.1,25.7,250,
271,Barisal,1971,8,31.4,28.55,25.2,351,1
272,Barisal,1971,9,33.9,29.55,25.5,394,1
273,Barisal,1971,10,33.4,29.45,24.5,152,
274,Barisal,1971,11,30.1,27.3,17.7,114,
275,Barisal,1971,12,28.6,23.15,13.4,0,
276,Barisal,1972,1,28.3,20.85,12.1,0,
277,Barisal,1972,2,31.4,21.75,13.3,58,
278,Barisal,1972,3,35,24.15,20.4,0,
279,Barisal,1972,4,37.2,28.8,23.7,121,
280,Barisal,1972,5,36.1,29.9,26.1,130,
281,Barisal,1972,6,36.4,31.25,26.1,262,
282,Barisal,1972,7,35.1,30.6,26.2,248,
283,Barisal,1972,8,33.4,29.8,25.1,458,1
284,Barisal,1972,9,34.7,29.9,26,90,
285,Barisal,1972,10,33.9,29.95,23.3,29,
286,Barisal,1972,11,32.6,27.95,18.4,0,
287,Barisal,1972,12,30.9,24.65,13.6,0,
288,Barisal,1973,1,31.7,22.65,12.6,0,
289,Barisal,1973,2,33.5,23.05,16.3,12,
290,Barisal,1973,3,36.4,26.35,19.1,81,
291,Barisal,1973,4,36,27.55,25.2,42,
292,Barisal,1973,5,34.4,29.8,24.4,508,1
293,Barisal,1973,6,33.9,29.15,25.7,502,1
294,Barisal,1973,7,32.8,29.25,25.7,392,1
295,Barisal,1973,8,32.5,29.1,25.7,266,1
296,Barisal,1973,9,35.6,30.65,25.4,398,1
297,Barisal,1973,10,33.3,29.35,24.4,308,1
298,Barisal,1973,11,30.6,27.5,19.2,171,
299,Barisal,1973,12,26.7,22.95,14,197,
300,Barisal,1974,1,27.2,20.6,11.7,2,
301,Barisal,1974,2,34.2,22.95,14.1,0,
302,Barisal,1974,3,35.6,24.85,21,149,
303,Barisal,1974,4,35,28,23.4,187,
304,Barisal,1974,5,35.6,29.5,24.3,265,
305,Barisal,1974,6,34.4,29.35,25.3,289,1
306,Barisal,1974,7,32.8,29.05,24.9,684,1
307,Barisal,1974,8,32.8,28.85,25.9,238,
308,Barisal,1974,9,33.3,29.6,24.4,361,1
309,Barisal,1974,10,35,29.7,25,153,
310,Barisal,1974,11,32.1,28.55,20.6,18,
311,Barisal,1974,12,27.2,23.9,12.4,0,
312,Barisal,1975,1,27.5,19.95,11.2,1,
313,Barisal,1975,2,32.2,21.7,14.6,1,
314,Barisal,1975,3,33.3,23.95,20.2,33,
315,Barisal,1975,4,34,27.1,23.9,85,
316,Barisal,1975,5,35,29.45,24.4,230,
317,Barisal,1975,6,33.9,29.15,25.5,353,1
318,Barisal,1975,7,32.2,28.85,24.6,321,1
319,Barisal,1975,8,35,29.8,25.5,351,1
320,Barisal,1975,9,32.5,29,25.5,275,
321,Barisal,1975,10,33.9,29.7,22,154,
322,Barisal,1975,11,30.6,26.3,17.3,44,
323,Barisal,1975,12,27.2,22.25,11,0,
324,Barisal,1976,1,31.1,21.05,11.7,0,
325,Barisal,1976,2,32.5,22.1,14.8,20,
326,Barisal,1976,3,35.6,25.2,21.5,2,
327,Barisal,1976,4,37.2,29.35,23.9,100,
328,Barisal,1976,5,37.2,30.55,24.1,164,
329,Barisal,1976,6,34.2,29.15,24.7,330,1
330,Barisal,1976,7,33.2,28.95,24.6,350,1
331,Barisal,1976,8,34.7,29.65,23.8,379,1
332,Barisal,1976,9,32.8,28.3,25.1,305,
333,Barisal,1976,10,33.9,29.5,23.1,147,
334,Barisal,1976,11,32.8,27.95,20.3,23,
335,Barisal,1976,12,29.6,24.95,12.3,25,
336,Barisal,1977,1,28.3,20.3,11.1,9,
337,Barisal,1977,2,31.4,21.25,13.5,36,
338,Barisal,1977,3,34.9,24.2,21.3,0,
339,Barisal,1977,4,34.7,28,23.7,307,1
340,Barisal,1977,5,33.7,28.7,24.4,157,
341,Barisal,1977,6,34.4,29.4,25.6,557,1
342,Barisal,1977,7,33.2,29.4,26,299,1
343,Barisal,1977,8,33.4,29.7,26.1,138,
344,Barisal,1977,9,34.7,30.4,25.9,237,
345,Barisal,1977,10,33.3,29.6,23,69,
346,Barisal,1977,11,31.7,27.35,19.9,53,
347,Barisal,1977,12,29.4,24.65,13.7,0,
348,Barisal,1978,1,27.8,20.75,10.7,0,
349,Barisal,1978,2,31.4,21.05,14.2,0,
350,Barisal,1978,3,36.9,25.55,18.5,14,
351,Barisal,1978,4,35,26.75,22.2,242,
352,Barisal,1978,5,35.6,28.9,24.1,387,1
353,Barisal,1978,6,33.3,28.7,25.8,631,1
354,Barisal,1978,7,33.9,29.85,25.6,409,1
355,Barisal,1978,8,34.4,30,25.8,403,1
356,Barisal,1978,9,33.3,29.55,25.1,300,1
357,Barisal,1978,10,35.1,30.1,24.5,127,
358,Barisal,1978,11,32.9,28.7,19.4,3,
359,Barisal,1978,12,30.3,24.85,12.5,0,
360,Barisal,1979,1,30.6,21.55,12,1,
361,Barisal,1979,2,32.2,22.1,13.7,14,
362,Barisal,1979,3,35.6,24.65,19.2,30,
363,Barisal,1979,4,37.5,28.35,24.1,38,
364,Barisal,1979,5,37.2,30.65,26.1,67,
365,Barisal,1979,6,37.3,31.7,26.1,453,1
366,Barisal,1979,7,34.4,30.25,26,559,1
367,Barisal,1979,8,34.4,30.2,25.9,642,1
368,Barisal,1979,9,35.6,30.75,25.8,316,
369,Barisal,1979,10,33.3,29.55,23.8,127,
370,Barisal,1979,11,33.3,28.55,21.2,31,
371,Barisal,1979,12,28.4,24.8,14.8,47,
372,Barisal,1980,1,29.5,22.15,11.8,0,
373,Barisal,1980,2,32,21.9,14.1,55,
374,Barisal,1980,3,34.5,24.3,19.4,47,
375,Barisal,1980,4,37,28.2,25.3,13,
376,Barisal,1980,5,35.8,30.55,24.1,235,
377,Barisal,1980,6,34.6,29.35,25.9,272,1
378,Barisal,1980,7,33.4,29.65,26.2,526,1
379,Barisal,1980,8,34.7,30.45,26.2,297,1
380,Barisal,1980,9,34.1,30.15,26.2,192,
381,Barisal,1980,10,33.8,30,23.4,282,1
382,Barisal,1980,11,32.2,27.8,17.5,0,
383,Barisal,1980,12,28.3,22.9,13.9,0,
384,Barisal,1981,1,28,20.95,13.1,24,
385,Barisal,1981,2,33.1,23.1,15.7,43,
386,Barisal,1981,3,33.5,24.6,19.5,115,
387,Barisal,1981,4,34,26.75,22.7,412,1
388,Barisal,1981,5,33.9,28.3,24.1,280,1
389,Barisal,1981,6,35,29.55,25.8,433,1
390,Barisal,1981,7,32.1,28.95,25.3,521,1
391,Barisal,1981,8,33.3,29.3,25.8,217,
392,Barisal,1981,9,35,30.4,25.4,173,
393,Barisal,1981,10,33.3,29.35,23.2,71,
394,Barisal,1981,11,32.8,28,17.6,0,
395,Barisal,1981,12,28.7,23.15,13,33,
396,Barisal,1982,1,29.8,21.4,12.4,0,
397,Barisal,1982,2,30.6,21.5,16.2,57,
398,Barisal,1982,3,35.2,25.7,19.3,17,
399,Barisal,1982,4,34.4,26.85,22.6,178,
400,Barisal,1982,5,37,29.8,25.9,65,
401,Barisal,1982,6,37.8,31.85,25.6,465,1
402,Barisal,1982,7,34,29.8,26.2,223,
403,Barisal,1982,8,32.1,29.15,25.3,593,1
404,Barisal,1982,9,33.9,29.6,25.3,219,
405,Barisal,1982,10,34,29.65,23.1,6,
406,Barisal,1982,11,32.7,27.9,17.1,34,
407,Barisal,1982,12,28.2,22.65,12,11,
408,Barisal,1983,1,28.2,20.1,11.9,8,
409,Barisal,1983,2,31.4,21.65,14.4,39,
410,Barisal,1983,3,35.3,24.85,21.2,18,
411,Barisal,1983,4,36.7,28.95,23,92,
412,Barisal,1983,5,35.9,29.45,24.2,318,1
413,Barisal,1983,6,34.8,29.5,25.8,292,1
414,Barisal,1983,7,34.2,30,26,399,1
415,Barisal,1983,8,33.5,29.75,25.9,575,1
416,Barisal,1983,9,34.3,30.1,25.6,312,1
417,Barisal,1983,10,34.6,30.1,23.8,192,
418,Barisal,1983,11,33.8,28.8,19,48,
419,Barisal,1983,12,28.4,23.7,12.8,19,
420,Barisal,1984,1,27.6,20.2,11.7,16,
421,Barisal,1984,2,32.6,22.15,13.4,0,
422,Barisal,1984,3,36.6,25,19.7,1,
423,Barisal,1984,4,36.3,28,23.8,102,
424,Barisal,1984,5,34.8,29.3,25.2,283,1
425,Barisal,1984,6,35.6,30.4,25.3,1025,1
426,Barisal,1984,7,32.8,29.05,24.9,448,1
427,Barisal,1984,8,35.2,30.05,25.6,431,1
428,Barisal,1984,9,34,29.8,25.1,224,1
429,Barisal,1984,10,34,29.55,24.4,118,
430,Barisal,1984,11,31.5,27.95,16.6,0,
431,Barisal,1984,12,29.5,23.05,13,1,
432,Barisal,1985,1,30.2,21.6,12.6,1,
433,Barisal,1985,2,31.4,22,14.3,2,
434,Barisal,1985,3,36.7,25.5,22.4,45,
435,Barisal,1985,4,36.6,29.5,24.6,64,
436,Barisal,1985,5,35,29.8,24.2,226,1
437,Barisal,1985,6,36.2,30.2,25.8,322,1
438,Barisal,1985,7,34.5,30.15,25.3,291,1
439,Barisal,1985,8,35,30.15,25.9,308,1
440,Barisal,1985,9,34.6,30.25,25.4,180,
441,Barisal,1985,10,34.5,29.95,22.8,198,
442,Barisal,1985,11,32,27.4,17.6,8,
443,Barisal,1985,12,30,23.8,13.4,0,
444,Barisal,1986,1,29.5,21.45,11.5,6,
445,Barisal,1986,2,32,21.75,14.7,0,
446,Barisal,1986,3,38.4,26.55,20.4,7,
447,Barisal,1986,4,35.4,27.9,23.2,102,
448,Barisal,1986,5,36.8,30,23.7,181,
449,Barisal,1986,6,36,29.85,25.9,254,1
450,Barisal,1986,7,35.5,30.7,25.2,381,1
451,Barisal,1986,8,35.2,30.2,26,252,1
452,Barisal,1986,9,35,30.5,24.8,526,1
453,Barisal,1986,10,33,28.9,22.7,135,
454,Barisal,1986,11,33.5,28.1,19.3,274,1
455,Barisal,1986,12,29.5,24.4,14.3,1,
456,Barisal,1987,1,29.2,21.75,12,4,
457,Barisal,1987,2,33.3,22.65,14.8,3,
458,Barisal,1987,3,37.2,26,19.9,8,
459,Barisal,1987,4,37.5,28.7,23.7,150,
460,Barisal,1987,5,36.6,30.15,24.6,96,
461,Barisal,1987,6,39.6,32.1,26.6,275,1
462,Barisal,1987,7,33.8,30.2,25.4,568,1
463,Barisal,1987,8,34,29.7,25.4,683,1
464,Barisal,1987,9,34,29.7,26,302,1
465,Barisal,1987,10,34.2,30.1,23.7,93,
466,Barisal,1987,11,32.5,28.1,19.6,37,
467,Barisal,1987,12,29,24.3,14.1,0,
468,Barisal,1988,1,28,21.05,12.1,0,
469,Barisal,1988,2,31,21.55,15.6,22,
470,Barisal,1988,3,35.2,25.4,21.1,65,
471,Barisal,1988,4,37,29.05,24.3,96,
472,Barisal,1988,5,34.5,29.4,25.5,393,1
473,Barisal,1988,6,34.6,30.05,25.4,565,1
474,Barisal,1988,7,33.5,29.45,25.9,422,1
475,Barisal,1988,8,32.4,29.15,26.2,459,1
476,Barisal,1988,9,35,30.6,25.9,228,
477,Barisal,1988,10,33.5,29.7,23.5,101,
478,Barisal,1988,11,31.5,27.5,18.9,113,
479,Barisal,1988,12,29.4,24.15,15.5,0,
480,Barisal,1989,1,27.1,21.3,10.2,0,
481,Barisal,1989,2,31.6,20.9,15.7,14,
482,Barisal,1989,3,36.2,25.95,19.9,1,
483,Barisal,1989,4,35.5,27.7,24.7,89,
484,Barisal,1989,5,35.5,30.1,26,164,
485,Barisal,1989,6,34.5,30.25,25.7,206,
486,Barisal,1989,7,33.6,29.65,25.4,453,1
487,Barisal,1989,8,32.7,29.05,25.4,203,
488,Barisal,1989,9,33,29.2,25.1,413,1
489,Barisal,1989,10,34.2,29.65,24.1,451,1
490,Barisal,1989,11,32,28.05,17.8,0,
491,Barisal,1989,12,28.5,23.15,12.3,0,
492,Barisal,1990,1,29.9,21.1,12.5,0,
493,Barisal,1990,2,31.7,22.1,17.4,79,
494,Barisal,1990,3,33.6,25.5,19,182,
495,Barisal,1990,4,34.6,26.8,22.9,139,
496,Barisal,1990,5,35,28.95,24.3,352,1
497,Barisal,1990,6,39.4,31.85,25.4,386,1
498,Barisal,1990,7,32.5,28.95,25.4,457,1
499,Barisal,1990,8,34,29.7,25.6,299,1
500,Barisal,1990,9,34,29.8,25.2,190,
501,Barisal,1990,10,33.6,29.4,22.6,194,
502,Barisal,1990,11,33,27.8,20.1,70,
503,Barisal,1990,12,29.2,24.65,13.9,30,
504,Barisal,1991,1,28.6,21.25,12.1,10,
505,Barisal,1991,2,33.2,22.65,16.5,14,
506,Barisal,1991,3,36.2,26.35,21.8,38,
507,Barisal,1991,4,36,28.9,24.3,53,
508,Barisal,1991,5,33.5,28.9,24.5,191,
509,Barisal,1991,6,34.4,29.45,25.1,562,1
510,Barisal,1991,7,33.3,29.2,25.7,356,1
511,Barisal,1991,8,35.5,30.6,25.3,369,1
512,Barisal,1991,9,33.5,29.4,25,232,1
513,Barisal,1991,10,33.5,29.25,23.7,497,1
514,Barisal,1991,11,30.5,27.1,17.9,54,
515,Barisal,1991,12,29.4,23.65,13.4,16,
516,Barisal,1992,1,28,20.7,11.6,4,
517,Barisal,1992,2,29.5,20.55,15.3,98,
518,Barisal,1992,3,36,25.65,22.2,0,
